rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,artist_genre,artist_popularity
107,spotify:track:1IHWl5LamUGEuP4ozKQSXZ,Bad Bunny,Tití Me Preguntó,Rimas Entertainment LLC,4,108,48,9877747,reggaeton,95
108,spotify:track:3HqcNJdZ2seoGxhn0wVNDK,KAROL G,PROVENZA,Universal Music Latino,6,103,50,9825217,reggaeton,88
109,spotify:track:1xzi1Jcr7mEi9K2RfzLOqS,Beyoncé,CUFF IT,Parkwood Entertainment/Columbia,13,104,33,9699966,pop,82
110,spotify:track:53tfEupEzQRtVFOeZvk7xq,ROSALÍA,DESPECHÁ,Columbia,5,101,36,9672048,latin viral pop,78
111,spotify:track:6BePGk3eCan4FqaW2X8Qy3,"Tiësto, Tate McRae",10:35,Atlantic Records,55,84,16,9656783,big room,80
112,spotify:track:3AJwUDP919kvQ9QcozQPxg,Coldplay,Yellow,Parlophone UK,56,100,120,9632327,permanent wave,85
113,spotify:track:5QO79kh1waicV47BqGRL3g,The Weeknd,Save Your Tears,Republic Records,2,112,122,9589458,canadian contemporary r&b,92
114,spotify:track:7qEHsqek33rTcFNT9PFqLf,Lewis Capaldi,Someone You Loved,Vertigo Berlin,4,106,221,9566566,pop,78
115,spotify:track:58ge6dfP91o9oXMzq3XkIS,Arctic Monkeys,505,Domino/Warner Records,43,114,66,9513257,garage rock,84
116,spotify:track:7lQ8MOhq6IN2w8EYcFNSUk,Eminem,Without Me,Aftermath,31,122,80,9369989,detroit hip hop,87
117,spotify:track:4R2kfaDFhslZEMJqAFNpdd,Taylor Swift,cardigan,Taylor Swift,1,121,15,9244628,pop,100
118,spotify:track:0JmnkIqdlnUzPaf8sqBRs3,Kali Uchis,Moonlight,Geffen Records,118,130,4,9228282,colombian pop,81
119,spotify:track:2K9kZpwD2CzTa6iiSYYOoO,Marília Mendonça,Leão,Som Livre,48,113,14,9213802,arrocha,77
120,spotify:track:6odrHMSLjP3aOXC4ipKUC6,Yng Lvcas,La Bebe,Yng Lvcas,70,105,8,9182219,reggaeton,70
121,spotify:track:1R0a2iXumgCiFb7HEZ7gUE,Taylor Swift,Don’t Blame Me,"Big Machine Records, LLC",72,126,33,9084429,pop,100
122,spotify:track:0ug5NqcwcFR2xrfTkc7k8e,Taylor Swift,Style,"Big Machine Records, LLC",117,117,3,9073546,pop,100
123,spotify:track:0pqnGHJpmpxLKifKRmU6WP,Imagine Dragons,Believer,Kid Ina Korner / Interscope,16,127,322,9020069,modern rock,84
