rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,artist_genre,artist_popularity
163,spotify:track:4RvWPyQ5RL0ao9LPZeSouE,Tears For Fears,Everybody Wants To Rule The World,UMC (Universal Music Catalogue),105,174,34,8157371,new romantic,72
164,spotify:track:7gRFDGEzF9UkBV233yv2dc,BLACKPINK,Shut Down,YG Entertainment/Interscope Records,1,164,31,8155707,k-pop,80
165,spotify:track:1Lo0QY9cvc8sUB2vnIOxDT,Luke Combs,Fast Car,River House Artists/Columbia Nashville,126,193,4,8151824,contemporary country,81
166,spotify:track:4w9soAM7IrmYDhSXLp14p6,Jack Black,Peaches,Back Lot Music,64,92,4,8143227,comedy rock,53
167,spotify:track:3B228N0GxfUCwPyfNcJxps,sped up 8282,Cupid – Twin Ver. (FIFTY FIFTY) – Sped Up Version,WM Korea,167,-1,1,8138631,sped up,55
168,spotify:track:086myS9r57YsLbJpU0TgK9,Arctic Monkeys,Why'd You Only Call Me When You're High?,Domino Recording Co,104,158,76,8137216,garage rock,84
169,spotify:track:46IZ0fSY2mpAiktS3KOqds,Adele,Easy On Me,Columbia,1,170,81,8134370,british soul,83
170,spotify:track:7qiZfU4dY1lWllzX7mPBI3,Ed Sheeran,Shape of You,Atlantic Records UK,1,187,315,8090678,pop,86
171,spotify:track:1cKHdTo9u0ZymJdPGSh6nq,"The Weeknd, Gesaffelstein",I Was Never There,Universal Republic Records,17,162,48,8087366,canadian contemporary r&b,92
172,spotify:track:0kzN7YAMSbmlHOvxlbQW9y,"Grupo Marca Registrada, Grupo Frontera",Di Que Si,"RB Music, Inc. (RB Music/Grupo Marca Registrada)",124,180,4,8060081,corrido,77
173,spotify:track:4aJzxp3gimtAdgJn3DL776,"Jhayco, Quevedo",Mami Chula,N&E Entertainment LLC,173,-1,1,8057406,reggaeton,81
174,spotify:track:3azJifCSqg9fRij2yKIbWz,Tory Lanez,The Color Violet,One Umbrella Records,70,165,18,8047566,canadian hip hop,79
175,spotify:track:3F5CgOj3wFlRv51JsHbxhe,"Drake, 21 Savage",Jimmy Cooks (feat. 21 Savage),OVO,7,175,46,8035891,canadian hip hop,95
176,spotify:track:3yfqSUWxFvZELEM4PmlwIR,Eminem,The Real Slim Shady,Interscope,51,177,100,8033088,detroit hip hop,87
177,spotify:track:23Lyy7ZXRvzfgH4JtDkKrX,Grupo Frontera,No Se Va - EN VIVO,Grupo Frontera,36,145,29,8027424,musica chihuahuense,83
178,spotify:track:09mEdoA6zrmBPgTEN5qXmN,The Weeknd,Call Out My Name,Universal Republic Records,1,176,80,8022495,canadian contemporary r&b,92
179,spotify:track:3ktTWpYdXrYApH54cBo4Ap,"Matuê, Rich The Kid",Conexões de Máfia (feat. Rich The Kid),Sony Music Entertainment,179,-1,1,8011413,r&b brasileiro,72
180,spotify:track:4LreWoO3cpgiIfrRwbOUSF,"Peso Pluma, Jasiel Nuñez",Rosa Pastel,Double P Records / Prajin Parlay Inc,180,-1,1,7986836,corridos tumbados,90
181,spotify:track:36gcliMRX1vCpgnrZE3dFZ,"Tiësto, Tate McRae",10:35,Atlantic Records,55,131,20,7964184,big room,80
182,spotify:track:2ksyzVfU0WJoBpu8otr4pz,INTERWORLD,METAMORPHOSIS,INTERWORLD,96,169,20,7943855,phonk brasileiro,70
183,spotify:track:51pxwIxDVCbFHW8oyJFQXD,Simone Mendes,Erro Gostoso - Ao Vivo,Universal Music Ltda.,183,-1,1,7893050,sertanejo,75
184,spotify:track:59hBR0BCtJsfIbV9VzCVAp,Jimin,Set Me Free Pt.2,BIGHIT MUSIC,14,178,7,7889062,k-pop,81
185,spotify:track:26cvTWJq2E1QqN4jyH2OTU,Anggi Marito,Tak Segampang Itu,PT. Universal Music Indonesia,185,-1,1,7886815,indonesian pop,63
186,spotify:track:5FVd6KXrgO9B3JPmC8OPst,Arctic Monkeys,Do I Wanna Know?,Domino Recording Co,98,179,85,7879654,garage rock,84
187,spotify:track:3dYD57lRAUcMHufyqn9GcI,Hozier,Take Me to Church,Columbia,108,181,102,7859540,irish singer-songwriter,80
188,spotify:track:1xzi1Jcr7mEi9K2RfzLOqS,Beyoncé,CUFF IT,Parkwood Entertainment/Columbia,13,182,37,7760620,pop,82
189,spotify:track:3xKsf9qdS1CyvXSMEid6g8,Frank Ocean,Pink + White,Boys Don't Cry,151,184,3,7749957,lgbtq+ hip hop,82
190,spotify:track:3xWGA8pa0IKFI7IMPri4P0,Ed Sheeran,Shivers,Atlantic Records UK,4,192,86,7721821,pop,86
191,spotify:track:4ygQ5wSuzzNRevVjup1qV2,"Luis R Conriquez, Tony Aguirre, Peso Pluma",El Gavilán,Kartel Music / Prajin Music,185,185,3,7707083,corrido,78
192,spotify:track:4woTEX1wYOTGDqNXuavlRC,"Eminem, Dina Rae",Superman,Aftermath,108,183,31,7687507,detroit hip hop,87
193,spotify:track:54ELExv56KCAB4UP9cOCzC,"Ñengo Flow, Bad Bunny",Gato de Noche,Rimas Entertainment LLC,25,171,19,7627959,reggaeton,78
194,spotify:track:7fBv7CLKzipRk6EC6TWHOB,The Weeknd,The Hills,Universal Republic Records,52,188,87,7598345,canadian contemporary r&b,92
195,spotify:track:4h4QlmocP3IuwYEj2j14p8,"Nicky Youre, dazy",Sunroof,Thirty Knots/Columbia,28,-1,46,7588436,singer-songwriter pop,65
196,spotify:track:5uCax9HTNlzGybIStD3vDh,James Arthur,Say You Won't Let Go,Columbia,7,-1,283,7578111,pop,79
197,spotify:track:5HrIcZOo1DysX53qDRlRnt,"TAEYANG, LISA",Shoong! (feat. LISA of BLACKPINK),THEBLACKLABEL/Interscope Records,197,-1,1,7575710,k-pop,63
198,spotify:track:2K9kZpwD2CzTa6iiSYYOoO,Marília Mendonça,Leão,Som Livre,48,200,17,7537515,arrocha,77
199,spotify:track:3EaJDYHA0KnX88JvDhL9oa,Steve Lacy,Dark Red,Three Quarter,66,197,90,7533147,afrofuturism,79
200,spotify:track:2AaaE0qvFWtyT8srKNfRhH,Raim Laode,Komang,Raim Laode,61,-1,10,7526476,indonesian pop,61
