rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,artist_genre,artist_popularity
139,spotify:track:2tTmW7RDtMQtBk7m2rYeSw,"Bizarrap, Quevedo","Quevedo: Bzrp Music Sessions, Vol. 52",DALE PLAY Records,1,143,65,8740671,argentine hip hop,83
140,spotify:track:0JXXNGljqupsJaZsgSbMZV,Miguel,Sure Thing,Jive,14,127,43,8736456,r&b,77
141,spotify:track:37F0uwRSrdzkBiuj0D5UHI,The Weeknd,Reminder,Universal Republic Records,65,152,42,8718680,canadian contemporary r&b,92
142,spotify:track:6I3mqTwhRpn34SLVafSH7G,Justin Bieber,Ghost,RBMG/Def Jam,11,-1,105,8707039,canadian pop,87
143,spotify:track:3dYD57lRAUcMHufyqn9GcI,Hozier,Take Me to Church,Columbia,108,118,113,8698942,irish singer-songwriter,80
144,spotify:track:0ofHAoxe9vBkTCp2UQIavz,Fleetwood Mac,Dreams - 2004 Remaster,Rhino/Warner Records,20,189,61,8693053,album rock,79
145,spotify:track:70LcF31zb1H0PyJoS1Sx1r,Radiohead,Creep,XL Recordings,145,148,16,8682028,alternative rock,78
146,spotify:track:4sDpxaulErbJ9NBaJDC7cJ,"Quevedo, Saiko",Buenas,Quevedo,68,68,2,8679219,rap canario,83
147,spotify:track:4W4fNrZYkobj539TOWsLO2,"The Weeknd, Ariana Grande",Die For You (with Ariana Grande) - Remix,XO / Republic Records,2,130,32,8647999,canadian contemporary r&b,92
148,spotify:track:739WUU1tPFLO4x4HJq561K,FIFTY FIFTY,Cupid - Twin Ver.,WM Korea,4,110,29,8603964,k-pop girl group,69
149,spotify:track:1Lo0QY9cvc8sUB2vnIOxDT,Luke Combs,Fast Car,River House Artists/Columbia Nashville,82,134,26,8585297,contemporary country,81
150,spotify:track:6dBUzqjtbnIa1TwYbyw5CM,TV Girl,Lovers Rock,TV Girl,148,174,15,8564233,pov: indie,78
151,spotify:track:2Hh3ETdQKrmSI3QS0hme7g,"Metro Boomin, Future, Don Toliver",Too Many Nights (feat. Don Toliver & with Future),Republic Records,33,157,33,8534056,rap,85
152,spotify:track:5BKiMkWucQVb7wrFi29VtX,Jung Kook,3D (Alternate Ver.),BIGHIT MUSIC,152,-1,1,8506327,k-pop,89
153,spotify:track:4kRLRWnn5u9wO2wOKAAdEN,"Bibi Babydoll, Dj Brunin XM, KZA Produções",Automotivo Bibi Fogosa,KZA Produções,90,139,9,8486595,Not Available,67
154,spotify:track:6JIC3hbC28JZKZ8AlAqX8h,"Elton John, Dua Lipa, PNAU",Cold Heart - PNAU Remix,EMI,4,155,112,8464087,glam rock,80
155,spotify:track:0KKkJNfGyhkQ5aFogxQAPU,Bruno Mars,That's What I Like,Atlantic Records,6,195,87,8438388,dance pop,86
156,spotify:track:1DmW5Ep6ywYwxc2HMT5BG6,Loreen,Tattoo,Universal Music AB,11,184,21,8431766,europop,69
157,spotify:track:2HbKqm4o0w5wEeEFXm2sD4,"Kendrick Lamar, Jay Rock",Money Trees,Aftermath,62,156,38,8430623,conscious hip hop,86
158,spotify:track:6GGtHZgBycCgGBUhZo81xe,Lana Del Rey,Say Yes To Heaven,Polydor Records,18,154,20,8397560,art pop,88
159,spotify:track:1zv3WFUbZ5vPxFq9I2jAU1,"Rihanna, Calvin Harris",We Found Love,Def Jam Recordings,59,168,34,8361839,barbadian pop,87
160,spotify:track:5QO79kh1waicV47BqGRL3g,The Weeknd,Save Your Tears,Republic Records,2,164,147,8355744,canadian contemporary r&b,92
161,spotify:track:4EWCNWgDS8707fNSZ1oaA5,Kanye West,Heartless,Roc-A-Fella,160,160,13,8289829,chicago rap,89
162,spotify:track:6AENBD8I0mDGglFqrRZGu7,"Gusttavo Lima, Ana Castela",Canudinho - Ao Vivo,Sony Music Entertainment,162,-1,1,8210893,agronejo,78
163,spotify:track:2hn2zOA2XFlv6DSmesylrL,"Ryan Castro, Peso Pluma, SOG",QUEMA,Sony Music Latin,128,128,9,8193735,reggaeton,77
164,spotify:track:3azJifCSqg9fRij2yKIbWz,Tory Lanez,The Color Violet,One Umbrella Records,70,122,34,8143986,canadian hip hop,79
165,spotify:track:0cqRj7pUJDkTCEsJkx8snD,Taylor Swift,Shake It Off,"Big Machine Records, LLC",117,173,21,8142331,pop,100
166,spotify:track:3BKD1PwArikchz2Zrlp1qi,"David Guetta, Anne-Marie, Coi Leray",Baby Don't Hurt Me,Parlophone UK,48,129,26,8126550,big room,85
167,spotify:track:1z9kQ14XBSN0r2v6fx4IdG,Rihanna,Diamonds,Def Jam Recordings,77,158,10,8095609,barbadian pop,87
168,spotify:track:1Hs1uUl8o2VtDp1DABFq0O,"LIT killah, Tiago PZK, Maria Becerra, Duki, Emilia, Rusherking, Big One, FMK",Los del Espacio,WEA Latina,19,115,18,8086847,argentine hip hop,72
169,spotify:track:3KZCP2StVGdWkOKyRZNWA4,Plan B,Es un Secreto,Pina Records,157,-1,8,8034151,reggaeton,76
170,spotify:track:5TRPicyLGbAF2LGBFbHGvO,"Kanye West, Dwele",Flashing Lights,Roc-A-Fella,166,166,5,8034094,chicago rap,89
171,spotify:track:1JgknGBbrfmEHeOZH051SS,SUICIDAL-IDOL,ecstacy (slowed),AVR,171,-1,1,7952091,scenecore,69
172,spotify:track:1zsPaEkglFvxjAhrM8yhpr,"Ozuna, Feid",Hey Mor,Aura Music Corp.,14,181,51,7939034,puerto rican pop,84
173,spotify:track:21jGcNKet2qwijlDFuPiPb,Post Malone,Circles,Republic Records,1,163,171,7915853,dfw rap,86
174,spotify:track:2LawezPeJhN4AWuSB0GtAU,Creedence Clearwater Revival,Have You Ever Seen The Rain,Craft Recordings,161,161,11,7886739,classic rock,77
175,spotify:track:0NZPBYD5qbEWRs3PrGiRkT,"Sam Smith, Kim Petras",Unholy (feat. Kim Petras),Capitol Records UK / EMI,1,-1,53,7844789,pop,82
176,spotify:track:51FvjPEGKq2zByeeEQ43V9,"Marshmello, Manuel Turizo",El Merengue,Sony Music Latin,59,179,31,7843731,brostep,82
